name,ply,rolls,sheets,uses,price,cost/use,url,
"renova christmas",3,72,110,2640,34.99,0.013253787878787879,https://www.amazon.co.uk/dp/B07BYD8HXJ,
"renova grand royal",3,18,140,840,14.79,0.017607142857142856,https://www.amazon.co.uk/dp/B08BJN2443,
"renova magic",4,9,190,855,9.56,0.011181286549707603,https://www.amazon.co.uk/dp/B0777YKRBH,
"renova orange",3,6,140,280,14.58,0.052071428571428574,https://www.amazon.co.uk/dp/B00XVKW0OA,
"renova red",3,20,180,1200,31.62,0.026350000000000002,https://www.amazon.co.uk/dp/B07BG9VYCP,
"renova ultra fort",3,4,170,226.66666666666666,6.69,0.029514705882352943,https://www.amazon.co.uk/dp/B07TVJYS9M,
"renova yellow",3,2,140,93.33333333333333,7.08,0.07585714285714286,https://www.amazon.co.uk/dp/B0841PH3ZW,
"so soft",3,40,166,2213.3333333333335,24.23,0.010947289156626506,https://www.ebay.co.uk/itm/255138990340,
"splesh aloe",3,60,135,2700,23.99,0.008885185185185185,https://www.amazon.co.uk/dp/B0776X33KJ,
"splesh lavender",3,60,135,2700,21.99,0.008144444444444444,https://www.amazon.co.uk/dp/B073Q4BJKG,
"splesh watermelon",3,72,135,3240,23.99,0.00740432098765432,https://www.ebay.co.uk/itm/186211555127,
spritumn,3,4,170,226.66666666666666,24.3776,0.10754823529411765,https://www.amazon.co.uk/dp/B07Y1TNK5V,
"stamford street superior",3,9,320,960,4.9,0.0051041666666666674,https://www.sainsburys.co.uk/gol-ui/product/new-355373-44/house-247-superior-toilet-tissue-double-rolls-3-ply-x9,
"tesco luxury soft coconut oil",3,6,240,480,3.25,0.0067708333333333336,https://www.tesco.com/groceries/en-GB/products/312107150,
"tesco luxury soft coconut oil",3,4,160,213.33333333333334,1.65,0.007734374999999999,https://www.tesco.com/groceries/en-GB/products/297445007,
"tesco luxury soft peony & cherry",3,6,240,480,3.25,0.0067708333333333336,https://www.tesco.com/groceries/en-GB/products/316794428,
"tesco luxury soft quilted",3,12,240,960,6.4,0.006666666666666667,https://www.tesco.com/groceries/en-GB/products/315737516,
"tesco luxury soft quilted",3,6,240,480,3.25,0.0067708333333333336,https://www.tesco.com/groceries/en-GB/products/312092758,
"tesco luxury soft quilted",3,4,160,213.33333333333334,1.79,0.008390625,https://www.tesco.com/groceries/en-GB/products/297444849,
