name,ply,rolls,sheets,uses,multiQuan,multiDisc,cost,delivery,useCost,useCostDisc,url
Sainsbury's Super Soft coconut oil,3,9,170,510,1,1,4,0,0.00784313725490196,0.00784313725490196,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-super-soft-coconut-toilet-roll-x9
andrex ultimate quilts vanilla,3,9,155,465,1,1,6.5,0,0.013978494623655914,0.013978494623655914,https://www.sainsburys.co.uk/gol-ui/product/andrex-ultimate-quilts-aloe-scented-toilet-rolls-x9
andrex ultimate quilts,3,16,160,853,1,1,12.65,0,0.014830011723329426,0.014830011723329426,uber eats co-op ladybarn
co-op quilted,3,4,240,320,1,1,4.1,0,0.0128125,0.0128125,uber eats co-op ladybarn
nicky elite,3,4,168,224,1,1,2.48,0,0.01107142857142857,0.01107142857142857,uber eats asda
nicky elite,3,9,168,504,1,1,5.27,0,0.010456349206349205,0.010456349206349205,uber eats asda
asda shades coconut oil,3,4,320,426,1,1,3.25,0,0.007629107981220657,0.007629107981220657,uber eats asda
asda shades sugar plum,3,4,320,426,1,1,4.03,0,0.009460093896713616,0.009460093896713616,uber eats asda
reflections poo emoji,3,4,160,213,1,1,3.1,0,0.01455399061032864,0.01455399061032864,uber eats asda
hush,3,4,140,186,1,1,3.05,0,0.01639784946236559,0.01639784946236559,uber eats one stop
andrex ultimate quilts,3,4,160,213,1,1,4.45,0,0.020892018779342724,0.020892018779342724,uber eats one stop
andrex ultimate quilts,3,9,160,480,1,1,9,0,0.01875,0.01875,uber eats one stop
andrex ultimate quilts vanilla,3,9,160,480,1,1,9,0,0.01875,0.01875,uber eats one stop
morrisons quilted,3,4,160,213,1,1,3.2,0,0.015023474178403757,0.015023474178403757,uber eats morrisons
Sainsbury's Super Soft quilted,3,4,170,226,1,1,2.55,0,0.011283185840707964,0.011283185840707964,uber eats sainsburys
co-op quilted,3,6,240,480,1,1,7.15,0,0.014895833333333334,0.014895833333333334,uber eats nisa local
who gives a crap recycled,3,4,360,480,1,1,6.75,0,0.0140625,0.0140625,uber eats gopuff
cushelle quilted 50% more sheets,3,6,236,472,1,1,9.88,0,0.02093220338983051,0.02093220338983051,uber eats iceland
